Expiry,Type,#,Brewery,Beverage,Subtype,ABV,Serving,BBE
Undated beers: 7 item(s) of 7 beer(s),,,,,,,,
,Barleywine,1,BrewDog,Abstrakt AB:20,Barleywine - American,14.2%,Bottle,0000-00-00
,,1,BrewDog,Abstrakt AB:23,Barleywine - English,11.5%,Bottle,0000-00-00
,,1,BrewDog,Abstrakt AB:25,Barleywine - Other,13.3%,Bottle,0000-00-00
,Mead,1,The Lancashire Mead Company,Viking's Blood,Mead - Melomel,17.0%,Bottle,0000-00-00
,Porter,1,BrewDog,Abstrakt AB:24,Porter - Baltic,12.0%,Bottle,0000-00-00
,Sour,1,BrewDog,Piña Playa,Sour - Gose,5.2%,Can,0000-00-00
,Stout,1,Central Waters Brewing Company,Brewer's Reserve Bourbon Barrel Stout (2017),Stout - American Imperial / Double,10.5%,Bottle,0000-00-00
,,,,,,,,
,,,,,,,,
Within two months: 4 item(s) of 2 beer(s),,,,,,,,
,Golden Ale,2,Kelchner Brewery,Local is Lekker,Golden Ale,3.9%,Bottle,2019-02-28
,IPA,2,Buxton Brewery,Axe Edge,IPA - American,6.8%,Bottle,2019-03-21
,,,,,,,,
More than two months away: 4 item(s) of 4 beer(s),,,,,,,,
,Barleywine,1,Fierce Beer,Bear Essentials,Barleywine - Other,13.0%,Can,2020-12-03
,Belgian Quad,1,Brouwerij De Sint-Sixtusabdij van Westvleteren,Trappist Westvleteren 12 (2017),Belgian Quad,10.2%,Bottle,2020-12-07
,Brown Ale,1,The Gipsy Hill Brewing Co.,Percolator,Brown Ale - Other,5.0%,Can,2019-05-27
,English Bitter,1,The Potton Brewing Co,Nice Pint of Beer,English Bitter,4.6%,Bottle,2019-03-31